n,padded_n,algo,trial,ms
4096,4096,strassen,3,516394.063
4096,4096,naive,4,260932.731
4096,4096,recursive,4,169440.003
4096,4096,strassen,4,494346.796
4096,4096,naive,5,253429.649
4096,4096,recursive,5,170316.402
4096,4096,strassen,5,500501.96
4101,4101,naive,1,163509.689
4101,8192,recursive,1,1359293.167
4101,8192,strassen,1,3480428.453
4101,4101,naive,2,160175.26
4101,8192,recursive,2,1346644.853
4101,8192,strassen,2,3402102.827
4101,4101,naive,3,158991.139
4101,8192,recursive,3,1341709.665
4101,8192,strassen,3,3393657.689
4101,4101,naive,4,158625.985
4101,8192,recursive,4,1338798.62
4101,8192,strassen,4,3389092.792
4101,4101,naive,5,158498.162
4101,8192,recursive,5,1337700.02
4101,8192,strassen,5,3388222.719
